"Brand","Model.Name","Car.Type","Year","Length","Width","Height","Weight","Fuel.Delivery","Transmission","Gears","Engine.Size","Cylinders","Accel.To.60","Top.Speed","Power.Output","Valves","List.Price","MPG","Euro.Emissions.Standard","CO2.Emissions","Wheelbase","Luggage.Capacity","Fuel.Capacity"
"Fiat","500","City car","2015",4248,2025,1600,1320,"Common rail","Manual",6,1598,"4",NA,115,118,"16",19095,68,6,109,2570,245,48
"Audi","A7","Executive","2014",4974,2139,1420,1755,"Common rail","Automatic",7,2967,"6",7.1,148,214,"24",45915,58,6,124,2914,535,73
"Citroen","C4 Cactus","Small family","2014",4157,1946,1480,1055,"Common rail","Automatic",6,1560,"4",11,113,90,"8",18180,78,5,94,2595,358,50
"Volkswagen","Polo","Supermini","2015",3983,1901,1443,1297,"Turbo injection","Manual",6,1798,"4",6.5,146,189,"16",19530,47,6,139,2468,204,45
"Jaguar","XF","Executive","2013",4961,2053,1460,1745,"Common rail","Automatic",8,2179,"4",9.8,130,160,"16",33995,57,5,129,2909,540,64
"Skoda","Octavia","Large family","2014",4685,2017,1501,1451,"Common rail","Manual",6,1968,"4",8.8,127,147,"16",25405,58,6,125,2679,610,55
"Audi","A4","Compact executive","2014",4701,2040,1427,1540,"Common rail","Manual",6,1968,"4",8,140,160,"16",29740,67,6,109,2808,480,63
"Ford","Focus","Small family","2014",4358,2010,1484,1343,"Common rail","Manual",6,1499,"4",10.2,120,118,"8",23545,74,6,98,2648,316,53
"Volkswagen","Scirocco","Coupe","2014",4256,2080,1406,1320,"Common rail","Automatic",6,1968,"4",8.3,132,147,"16",26805,62,6,119,2578,312,55
"Land Rover","Range Rover","Large 4x4","2013",4850,2220,1780,2335,"Supercharger","Automatic",8,4999,"8",5,155,502,"32",84350,21,5,298,2923,784,105
"Jeep","Cherokee","Large 4x4","2014",4624,1859,1670,1846,"Common rail","Manual",6,1956,"4",11.6,117,138,"16",33810,50,5,147,2700,714,60
"Alfa Romeo","4C","Coupe","2014",3989,2090,1183,895,"Turbo direct injection","Automatic",6,1742,"4",4.4,160,236,"16",51500,41,6,157,2380,110,40
"Volkswagen","Passat","Large family","2015",4767,2083,1456,1369,"Common rail","Manual",6,1598,"4",10.5,128,118,"16",22320,70,6,106,2791,586,59
"Fiat","Panda","City car","2014",3705,1882,1657,1155,"Common rail","Manual",5,1248,"4",13.8,99,78,"16",17225,60,5,124,2300,225,35
"Volkswagen","Scirocco","Coupe","2014",4256,2080,1406,1300,"Common rail","Manual",6,1968,"4",8.3,134,147,"16",27375,67,6,109,2578,312,55
"Nissan","Pulsar","Small family","2014",4387,2017,1520,1307,"Common rail","Manual",6,1461,"4",11.1,115,108,"8",22245,78,6,94,2700,385,46
"Renault","Captur","Mini SUV","2013",4122,1778,1566,1180,"Turbo injection","Automatic",6,1197,"4",10.6,119,118,"16",17395,52,5,125,2606,NA,45
"Suzuki","Swift","Supermini","2015",3850,1695,1500,1030,"Multi point fuel injection","Manual",5,1242,"4",11.9,103,88,"16",12699,65,5,99,2430,211,42
"SEAT","Leon","Small family","2015",4543,1816,1431,1440,"Turbo direct injection","Manual",6,1984,"4",5.9,155,276,"16",29205,41,6,158,2631,587,50
"Citroen","C4","Small family","2015",4329,1789,1489,1205,"Turbo direct injection","Manual",6,1199,"3",10.5,124,128,"12",18245,58,6,107,2608,380,60
"Smart","Fortwo","City car","2015",2695,1893,1555,900,"Turbo injection","Manual",5,898,"3",10.1,96,88,"12",12415,67,6,97,1873,350,35
"Ford","Focus ST","Small family","2015",4362,2010,1484,1437,"Turbo direct injection","Manual",6,1999,"4",6.3,154,246,"16",26295,41,6,159,2648,316,55
"Skoda","Fabia","Supermini","2015",3992,1958,1467,1079,"Turbo injection","Automatic",7,1197,"4",9.1,122,108,"16",15100,60,6,109,2470,330,45
"Audi","S3","Small family","2013",4254,1966,1401,1425,"Turbo direct injection","Automatic",6,1984,"4",4.6,155,295,"16",32460,40,6,159,2596,325,55
"Peugeot","508","Large family","2014",4828,2068,NA,1650,"Common rail","Automatic",6,1997,"-",9.4,136,180,"-",30895,61,6,119,2817,512,72
